species,wallwidth,stylelength,gallwidth
MalvantheraDestruens,0.22,0.92,0.96
MalvantheraHesperidiiformis,0.48,1.32,1.98
MalvantheraXylosycia,0.14,1.29,0.86
ConosyceaMicrocarpa,0.06,0.99,0.53
ConosyceaPellucidopunctata,0.13,1.56,1.16
FicusPadana,0.39,0.4,1.1
FicusGrossularioides,0.12,0.4,1.14
AdenospermaSemivestita,0.57,0.66,1.21
SycocarpusDammaropsis,0.87,1.24,1.82
SycocarpusMicrodictya,0.31,0.98,1.29
SycidiumCopiosa,0.54,0.65,1.18
SycidiumWassa,0.12,0.47,0.91
SycidiumConocephalifolia,0.39,0.7,1.45
SycidiumTrachypison,0.04,0.4,0.96
SycidiumPhaeosyce,0.02,0.41,0.62
SycidiumTinctoria,0.12,0.36,0.81
SycidiumVirgata,0.15,0.33,0.68
SycocarpusBotryocarpa,0.37,0.5,0.96
SycocarpusSeptica,0.29,0.42,1.03
SycocarpusHispidiodes,0.68,0.35,1.28
SycocarpusBernaysii,0.12,0.37,1.05
SycocarpusPungens,0.01,0.39,0.77
NeomorpheVariegata,0.4,0.3,0.99
SycicarpusPungens,0.01,0.39,0.77
